target_id	length	eff_length	est_counts	tpm
Solyc12g087870.2.1	1737	1684.96	8	0.585441
Solyc03g058213.1.1	309	256.958	1	0.479866
Solyc02g079280.3.1	1274	1221.96	0	0
Solyc08g008630.3.1	1303	1250.96	1413	139.278
Solyc06g005310.3.1	1358	1305.96	2	0.188835
Solyc12g049120.2.1	1332	1279.96	0	0
Solyc09g072940.2.1	858	805.958	0	0
Solyc08g075540.3.1	2634	2581.96	830	39.6379
Solyc09g091510.3.1	1452	1399.96	2341	206.19
Solyc04g016177.1.1	1251	1198.96	12	1.23413
Solyc03g120050.3.1	1594	1541.96	38.6359	3.08959
Solyc05g018453.1.1	867	814.958	0	0
Solyc07g065320.3.1	4946	4893.96	328	8.2641
Solyc05g013560.3.1	448	395.958	347	108.059
Solyc01g108380.2.1	1059	1006.96	0	0
Solyc06g035943.1.1	780	727.958	1	0.169385
Solyc08g006251.1.1	678	625.958	0	0
Solyc05g025810.3.1	1306	1253.96	526	51.7231
Solyc03g115350.2.1	507	454.958	0	0
Solyc12g011190.2.1	1418	1365.96	109	9.83946
Solyc11g071423.1.1	2259	2206.96	0	0
Solyc10g045555.1.1	393	340.958	0	0
Solyc08g080585.1.1	714	661.958	0	0
Solyc02g005115.1.1	550	497.958	78.0644	19.3305
Solyc02g086660.3.1	3546	3493.96	15.4318	0.544603
Solyc04g070987.1.1	535	482.958	380.971	97.2669
Solyc03g096193.1.1	399	346.958	0	0
Solyc10g074520.2.1	1668	1615.96	5	0.381524
Solyc02g065360.3.1	2862	2809.96	206	9.0396
Solyc01g020570.2.1	1065	1012.96	0	0
Solyc02g076790.3.1	1037	984.958	292	36.555
Solyc03g080115.1.1	945	892.958	0	0
Solyc03g005470.3.1	839	786.958	1703	266.836
Solyc05g047540.3.1	4664	4611.96	116.955	3.1269
Solyc11g020471.1.1	882	829.958	0	0
Solyc05g005770.3.1	1621	1568.96	168	13.2032
Solyc03g044420.2.1	1271	1218.96	7	0.708095
Solyc06g072135.1.1	1409	1356.96	117	10.6317
Solyc04g054760.3.1	876	823.958	684	102.361
Solyc05g014177.1.1	448	395.958	0	0
Solyc03g111705.1.1	792	739.958	0	0
Solyc07g015850.1.1	507	454.958	0	0
Solyc03g063290.3.1	850	797.958	172.464	26.6501
Solyc09g020190.3.1	2061	2008.96	761	46.7085
Solyc11g008340.2.1	3580	3527.96	371	12.9668
Solyc12g019777.1.1	477	424.958	0	0
Solyc09g082740.1.1	288	235.958	0	0
Solyc03g051820.1.1	411	358.958	0	0
Solyc01g108820.1.1	768	715.958	0	0
Solyc09g008917.1.1	192	139.958	0	0
Solyc11g072320.2.1	4765	4712.96	97.8599	2.56031
Solyc03g112770.3.1	871	818.958	481	72.4212
Solyc04g054430.2.1	1054	1001.96	1288	158.507
Solyc10g052660.2.1	600	547.958	1963.67	441.88
Solyc04g083160.2.1	2894	2841.96	4	0.17355
Solyc02g088510.3.1	1452	1399.96	19	1.67348
Solyc02g086920.2.1	2778	2725.96	4	0.180935
Solyc04g039830.2.1	636	583.958	0	0
Solyc08g062387.1.1	405	352.958	0	0
Solyc03g117720.3.1	1465	1412.96	26	2.26896
Solyc04g074165.1.1	420	367.958	15	5.02661
Solyc07g063080.3.1	2851	2798.96	3	0.132162
Solyc11g062195.1.1	489	436.958	0	0
Solyc07g062020.2.1	849	796.958	0	0
Solyc04g050823.1.1	585	532.958	0	0
Solyc01g108080.3.1	384	331.958	0	0
Solyc08g066460.2.1	935	882.958	7	0.977552
Solyc08g006000.3.1	1005	952.958	1355	175.327
Solyc03g007825.1.1	885	832.958	0	0
Solyc03g031655.1.1	882	829.958	0	0
Solyc09g066400.2.1	1555	1502.96	1	0.0820418
Solyc01g091800.3.1	1494	1441.96	315	26.9364
Solyc06g054690.3.1	2403	2350.96	302	15.8396
Solyc12g056673.1.1	810	757.958	0	0
Solyc09g065250.2.1	962	909.958	0	0
Solyc04g049485.1.1	625	572.958	0	0
Solyc09g084460.3.1	645	592.958	184.879	38.4455
Solyc02g067925.1.1	7689	7636.96	230.483	3.72135
Solyc12g006750.1.1	252	199.958	1	0.616657
Solyc03g122240.3.1	3244	3191.96	121	4.67423
Solyc01g109550.2.1	978	925.958	60	7.98991
Solyc06g007920.2.1	490	437.958	0	0
Solyc01g109780.3.1	2980	2927.96	8.28789	0.349029
Solyc06g008460.2.1	390	337.958	0	0
Solyc06g011460.1.1	600	547.958	0	0
Solyc01g081630.3.1	2503	2450.96	18	0.905563
Solyc09g011040.1.1	1290	1237.96	2	0.199208
Solyc01g080080.3.1	1806	1753.96	314	22.0746
Solyc10g081420.2.1	6066	6013.96	13.0731	0.26804
Solyc06g005780.1.1	357	304.958	0	0
Solyc01g094080.3.1	2132	2079.96	0	0
Solyc06g069570.3.1	1494	1441.96	883.413	75.5429
Solyc01g104590.3.1	2202	2149.96	4495	257.799
Solyc02g067510.3.1	922	869.958	1	0.141737
Solyc12g062920.2.1	195	142.958	1	0.86253
Solyc12g007050.1.1	198	145.958	29	24.4992
Solyc03g026413.1.1	183	130.958	0	0
Solyc09g064220.2.1	438	385.958	0	0
Solyc12g038970.2.1	2016	1963.96	411	25.8043
Solyc07g032745.1.1	1125	1072.96	1	0.114921
Solyc02g078430.3.1	795	742.958	0	0
Solyc10g054040.2.1	1864	1811.96	5	0.340255
Solyc03g121770.2.1	2064	2011.96	1	0.0612863
Solyc09g072870.3.1	1463	1410.96	3323.82	290.473
Solyc03g063690.1.1	1791	1738.96	12	0.850891
Solyc11g067200.2.1	4337	4284.96	202	5.81282
Solyc09g055900.3.1	1694	1641.96	26	1.95251
Solyc01g105230.3.1	7135	7082.96	260.778	4.53981
Solyc03g120475.1.1	919	866.958	1684	239.511
Solyc08g007950.3.1	3366	3313.96	160	5.95326
Solyc06g050185.1.1	204	151.958	0	0
Solyc04g016060.1.1	846	793.958	11	1.70835
Solyc02g062170.3.1	1014	961.958	0	0
Solyc08g076500.3.1	207	154.958	1	0.795736
Solyc08g066190.2.1	2450	2397.96	1	0.051421
Solyc09g007320.3.1	2220	2167.96	0	0
Solyc05g012550.3.1	1211	1158.96	8.93629	0.950762
Solyc06g073033.1.1	438	385.958	0	0
Solyc02g090135.1.1	2374	2321.96	0	0
Solyc06g051060.3.1	1647	1594.96	102	7.88557
Solyc03g007500.3.1	2046	1993.96	207.254	12.8165
Solyc07g042093.1.1	654	601.958	0	0
Solyc06g076130.3.1	5236	5183.96	244	5.80377
Solyc06g076910.2.1	6763	6710.96	80	1.4699
Solyc12g013870.2.1	1226	1173.96	2	0.210068
Solyc02g081570.3.1	2085	2032.96	0	0
Solyc07g005740.1.1	1431	1378.96	12	1.07303
Solyc02g086850.2.1	2888	2835.96	2	0.0869585
Solyc11g011130.2.1	1870	1817.96	2421	164.207
Solyc03g118660.3.1	1672	1619.96	161	12.2547
Solyc05g009890.1.1	1362	1309.96	18	1.69433
Solyc02g030220.1.1	1017	964.958	0	0
Solyc02g069547.1.1	744	691.958	0	0
Solyc09g008940.3.1	1682	1629.96	294	22.2409
Solyc05g006323.1.1	1341	1288.96	1	0.0956628
Solyc01g100590.3.1	1474	1421.96	675	58.5328
Solyc11g068810.2.1	709	656.958	859	161.227
Solyc10g047480.1.1	1443	1390.96	0	0
Solyc01g086970.3.1	585	532.958	148	34.2414
Solyc02g069730.3.1	1243	1190.96	4.4948	0.465367
